ID	Block	Trial	TTrial	Task	CorrectKey	RT	Resp	Error	imageShown	totalEarned	LeftCorrect	RightCorrect	Response	DelayStep	totalTime	RTBASELINE	DELAY	DelayArea	blockType	LEFTREWARD	RIGHTREWARD	LeftTask	RightTask	CURRENTTASKSQUARE	LeftPos	RightPos	LeftImg	RightImg
68	5	111	0	 	0	NaN	NaN	NaN	 	0	UPLEFT 	DOWNRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNRIGHT 	UPRIGHT 	UPLEFT 	DOWNRIGHT 
68	5	112	0	 	0	NaN	NaN	NaN	 	0	DOWNLEFT 	DOWNLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPLEFT 	DOWNRIGHT 	DOWNLEFT 	DOWNLEFT 
68	5	113	0	 	0	NaN	NaN	NaN	 	0	DOWNRIGHT 	DOWNLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNLEFT 	UPLEFT 	DOWNRIGHT 	DOWNLEFT 
68	5	114	0	 	0	NaN	NaN	NaN	 	0	DOWNLEFT 	UPRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNRIGHT 	UPLEFT 	DOWNLEFT 	UPRIGHT 
68	5	115	0	 	0	NaN	NaN	NaN	 	0	UPLEFT 	DOWNLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPRIGHT 	UPLEFT 	UPLEFT 	DOWNLEFT 
68	5	116	0	 	0	NaN	NaN	NaN	 	0	UPRIGHT 	UPLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNRIGHT 	DOWNLEFT 	UPRIGHT 	UPLEFT 
68	5	117	0	 	0	NaN	NaN	NaN	 	0	DOWNLEFT 	UPLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNRIGHT 	DOWNRIGHT 	DOWNLEFT 	UPLEFT 
68	5	118	0	 	0	NaN	NaN	NaN	 	0	DOWNLEFT 	DOWNRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPLEFT 	UPRIGHT 	DOWNLEFT 	DOWNRIGHT 
68	5	119	0	 	0	NaN	NaN	NaN	 	0	DOWNLEFT 	DOWNRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPLEFT 	DOWNLEFT 	DOWNLEFT 	DOWNRIGHT 
68	5	120	0	 	0	NaN	NaN	NaN	 	0	UPRIGHT 	UPRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPLEFT 	DOWNRIGHT 	UPRIGHT 	UPRIGHT 
68	5	121	0	 	0	NaN	NaN	NaN	 	0	UPLEFT 	UPLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNRIGHT 	DOWNRIGHT 	UPLEFT 	UPLEFT 
68	5	122	0	 	0	NaN	NaN	NaN	 	0	DOWNRIGHT 	UPRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPRIGHT 	DOWNRIGHT 	DOWNRIGHT 	UPRIGHT 
68	5	123	0	 	0	NaN	NaN	NaN	 	0	DOWNLEFT 	DOWNRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPLEFT 	DOWNLEFT 	DOWNLEFT 	DOWNRIGHT 
68	5	124	0	 	0	NaN	NaN	NaN	 	0	UPLEFT 	DOWNRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNLEFT 	UPRIGHT 	UPLEFT 	DOWNRIGHT 
68	5	125	0	 	0	NaN	NaN	NaN	 	0	DOWNLEFT 	UPLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPLEFT 	DOWNLEFT 	DOWNLEFT 	UPLEFT 
68	5	126	0	 	0	NaN	NaN	NaN	 	0	DOWNRIGHT 	DOWNLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPLEFT 	DOWNRIGHT 	DOWNRIGHT 	DOWNLEFT 
68	5	127	0	 	0	NaN	NaN	NaN	 	0	DOWNRIGHT 	UPLEFT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPLEFT 	DOWNRIGHT 	DOWNRIGHT 	UPLEFT 
68	5	128	0	 	0	NaN	NaN	NaN	 	0	UPRIGHT 	DOWNRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPLEFT 	DOWNLEFT 	UPRIGHT 	DOWNRIGHT 
68	5	129	0	 	0	NaN	NaN	NaN	 	0	UPLEFT 	DOWNRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	DOWNRIGHT 	DOWNLEFT 	UPLEFT 	DOWNRIGHT 
68	5	130	0	 	0	NaN	NaN	NaN	 	0	DOWNLEFT 	DOWNRIGHT 	 	0	0	0.837875	1.33788	1	2	11.5	1	NaN	NaN	 	UPRIGHT 	DOWNLEFT 	DOWNLEFT 	DOWNRIGHT 
